ID;URL's de las imágenes;Precio Final;Cantidad;Estado;Nombre;Descripción;Categorias;Precio Base;Precio Venta;Cantidad mínima;Nombre de la imagen;Folder
;http://localhost:8888/joyeria/imgtemp/IMG_3166.JPG;;200;1;Pulso piel acero ferragamo;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3166.JPG;acero_20160661
;http://localhost:8888/joyeria/imgtemp/IMG_3167.JPG;;200;1;Pulso rolex eslabon clasico ;acero existente solo en amarillo y plata;1,4;;;;IMG_3167.JPG;acero_20160662
;http://localhost:8888/joyeria/imgtemp/IMG_3169.JPG;;200;1;Pulso rolex eslabon clasico ;acero existente solo en amarillo y plata;1,4;;;;IMG_3169.JPG;acero_20160663
;http://localhost:8888/joyeria/imgtemp/IMG_3170.JPG;;200;1;Pulso herradura ferragamo piel ;acero existente solo en amarillo y plata;1,4;;;;IMG_3170.JPG;acero_20160664
;http://localhost:8888/joyeria/imgtemp/IMG_3171.JPG;;200;1;Pulso rolex ancla ;acero existente solo en amarillo y plata;1,4;;;;IMG_3171.JPG;acero_20160665
;http://localhost:8888/joyeria/imgtemp/IMG_3172.JPG;;200;1;Pulso flecha rolex ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3172.JPG;acero_20160666
;http://localhost:8888/joyeria/imgtemp/IMG_3173.JPG;;200;1;Pulso herradura ferragamo piel ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3173.JPG;acero_20160667
;http://localhost:8888/joyeria/imgtemp/IMG_3174.JPG;;200;1;Pulso flecha rolex ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3174.JPG;acero_20160668
;http://localhost:8888/joyeria/imgtemp/IMG_3175.JPG;;200;1;Broquel tiffany dog;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3175.JPG;acero_20160669
;http://localhost:8888/joyeria/imgtemp/IMG_3176.JPG;;200;1;Juego tous redondo;acero existente en acero solo amarillo;1,4;;;;IMG_3176.JPG;acero_20160670
;http://localhost:8888/joyeria/imgtemp/IMG_3177.JPG;;200;1;Broquel bvlgari colgante zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3177.JPG;acero_20160671
;http://localhost:8888/joyeria/imgtemp/IMG_3178.JPG;;200;1;Broquel bvlgari rombo zirconia ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3178.JPG;acero_20160672
;http://localhost:8888/joyeria/imgtemp/IMG_3179.JPG;;200;1;Juego tous perla zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3179.JPG;acero_20160673
;http://localhost:8888/joyeria/imgtemp/IMG_3180.JPG;;200;1;Arracada channel zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3180.JPG;acero_20160674
;http://localhost:8888/joyeria/imgtemp/IMG_3181.JPG;;200;1;Arracada cartier con esmalte;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3181.JPG;acero_20160675
;http://localhost:8888/joyeria/imgtemp/IMG_3182.JPG;;200;1;Arete tiffany corazon turquesa;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3182.JPG;acero_20160676
;http://localhost:8888/joyeria/imgtemp/IMG_3183.JPG;;200;1;Broquel bvlgari onix rueda saliente;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3183.JPG;acero_20160677
;http://localhost:8888/joyeria/imgtemp/IMG_3184.JPG;;200;1;Broquel cartier con esmalte cz;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3184.JPG;acero_20160678
;http://localhost:8888/joyeria/imgtemp/IMG_3185.JPG;;200;1;Juego channel zirconia;acero existente en acero solo amarillo;1,4;;;;IMG_3185.JPG;acero_20160679
;http://localhost:8888/joyeria/imgtemp/IMG_3186.JPG;;200;1;Broquel llave tiffany;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3186.JPG;acero_20160680
;http://localhost:8888/joyeria/imgtemp/IMG_3187.JPG;;200;1;Juego mk ;acero existente en acero solo amarillo;1,4;;;;IMG_3187.JPG;acero_20160681
;http://localhost:8888/joyeria/imgtemp/IMG_3188.JPG;;200;1;Huggie mk rombo;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3188.JPG;acero_20160682
;http://localhost:8888/joyeria/imgtemp/IMG_3189.JPG;;200;1;Broquel bvlgari onix rueda saliente;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3189.JPG;acero_20160683
;http://localhost:8888/joyeria/imgtemp/IMG_3190.JPG;;200;1;Juego channel oval onix;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3190.JPG;acero_20160684
;http://localhost:8888/joyeria/imgtemp/IMG_3191.JPG;;200;1;Juego cartier corazon madre perla;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3191.JPG;acero_20160685
;http://localhost:8888/joyeria/imgtemp/IMG_3192.JPG;;200;1;Juego channel trebol madre perla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3192.JPG;acero_20160686
;http://localhost:8888/joyeria/imgtemp/IMG_3193.JPG;;200;1;Juego cartier corazon onix;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3193.JPG;acero_20160687
;http://localhost:8888/joyeria/imgtemp/IMG_3194.JPG;;200;1;Juego channel trebol onix;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3194.JPG;acero_20160688
;http://localhost:8888/joyeria/imgtemp/IMG_3195.JPG;;200;1;Pulso mk placa ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3195.JPG;acero_20160689
;http://localhost:8888/joyeria/imgtemp/IMG_3196.JPG;;200;1;Arete channel perla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3196.JPG;acero_20160690
;http://localhost:8888/joyeria/imgtemp/IMG_3197.JPG;;200;1;Juego corazon cartier;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3197.JPG;acero_20160691
;http://localhost:8888/joyeria/imgtemp/IMG_3198.JPG;;200;1;Pulso tous cristal ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3198.JPG;acero_20160692
;http://localhost:8888/joyeria/imgtemp/IMG_3199.JPG;;200;1;Pulso bvlgari zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3199.JPG;acero_20160693
;http://localhost:8888/joyeria/imgtemp/IMG_3200.JPG;;200;1;Pulso bvlgari eslabon clasico;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3200.JPG;acero_20160694
;http://localhost:8888/joyeria/imgtemp/IMG_3201.JPG;;200;1;Pulso mk cuadro zirconia madre perla;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3201.JPG;acero_20160695
