ID;Imagen;Nombre;Referencia;Categoría;Precio base;Precio final;Cantidad;Estado
150;http://localhost:8888/joyeria/img/p/1/5/0/150.jpg;Juego bvlgari madre perla;150;Mujer;0;0;200;1
648;http://localhost:8888/joyeria/img/p/6/4/8/648.jpg;Collar;648;Raíz;198;356.4;200;1
531;http://localhost:8888/joyeria/img/p/5/3/1/531.jpg;Gargantilla;531;Raíz;317;570.6;200;1
620;http://localhost:8888/joyeria/img/p/6/2/0/620.jpg;Pulsera;620;Raíz;135;243;200;1
506;http://localhost:8888/joyeria/img/p/5/0/6/506.jpg;Gargantilla;506;Raíz;223;401.4;200;1
58;http://localhost:8888/joyeria/img/p/5/8/58.jpg;Arracada channel zirconia;58;Mujer;0;0;200;1
556;http://localhost:8888/joyeria/img/p/5/5/6/556.jpg;Pulsera;556;Raíz;166;298.8;200;1
123;http://localhost:8888/joyeria/img/p/1/2/3/123.jpg;Arete tiffanny argolla colgante;123;Mujer;0;0;200;1
33;http://localhost:8888/joyeria/img/p/3/3/33.jpg;Juego mk con marquiz;33;Mujer;0;0;200;1
98;http://localhost:8888/joyeria/img/p/9/8/98.jpg;Juego channel czirconia colgante;98;Mujer;0;0;200;1
595;http://localhost:8888/joyeria/img/p/5/9/5/595.jpg;Pulsera;595;Raíz;43;77.4;200;1
164;http://localhost:8888/joyeria/img/p/1/6/4/164.jpg;Broquel tous zirconias;164;Mujer;0;0;200;1
662;http://localhost:8888/joyeria/img/p/6/6/2/662.jpg;Collar;662;Raíz;198;356.4;200;1
545;http://localhost:8888/joyeria/img/p/5/4/5/545.jpg;Gargantilla;545;Raíz;248;446.4;200;1
8;http://localhost:8888/joyeria/img/p/8/8.jpg;Brazalete Mk;8;Mujer;0;0;200;1
72;http://localhost:8888/joyeria/img/p/7/2/72.jpg;Juego channel trebol onix;72;Mujer;0;0;200;1
570;http://localhost:8888/joyeria/img/p/5/7/0/570.jpg;Pulsera;570;Raíz;63;113.4;200;1
137;http://localhost:8888/joyeria/img/p/1/3/7/137.jpg;Anillo de mk piel;137;Mujer;0;0;200;1
634;http://localhost:8888/joyeria/img/p/6/3/4/634.jpg;Collar;634;Raíz;192;345.6;200;1
520;http://localhost:8888/joyeria/img/p/5/2/0/520.jpg;Gargantilla;520;Raíz;146;262.8;200;1
47;http://localhost:8888/joyeria/img/p/4/7/47.jpg;Pulso rolex eslabon clasico;47;Mujer;0;0;200;1
112;http://localhost:8888/joyeria/img/p/1/1/2/112.jpg;Pulso channel canal zirconias;112;Mujer;0;0;200;1
609;http://localhost:8888/joyeria/img/p/6/0/9/609.jpg;Pulsera;609;Raíz;57;102.6;200;1
495;http://localhost:8888/joyeria/img/p/4/9/5/495.jpg;Gargantilla;495;Raíz;196;352.8;200;1
22;http://localhost:8888/joyeria/img/p/2/2/22.jpg;Broquel tous;22;Mujer;0;0;200;1
87;http://localhost:8888/joyeria/img/p/8/7/87.jpg;Pulso mk doble animal print;87;Mujer;0;0;200;1
584;http://localhost:8888/joyeria/img/p/5/8/4/584.jpg;Pulsera;584;Raíz;55;99;200;1
153;http://localhost:8888/joyeria/img/p/1/5/3/153.jpg;Juego channel perla;153;Mujer;0;0;200;1
651;http://localhost:8888/joyeria/img/p/6/5/1/651.jpg;Collar;651;Raíz;223;401.4;200;1
534;http://localhost:8888/joyeria/img/p/5/3/4/534.jpg;Gargantilla;534;Raíz;57;102.6;200;1
126;http://localhost:8888/joyeria/img/p/1/2/6/126.jpg;Broquel cuadro de channel;126;Mujer;0;0;200;1
623;http://localhost:8888/joyeria/img/p/6/2/3/623.jpg;Pulsera;623;Raíz;109;196.2;200;1
509;http://localhost:8888/joyeria/img/p/5/0/9/509.jpg;Gargantilla;509;Raíz;197;354.6;200;1
61;http://localhost:8888/joyeria/img/p/6/1/61.jpg;Broquel bvlgari onix rueda saliente;61;Mujer;0;0;200;1
559;http://localhost:8888/joyeria/img/p/5/5/9/559.jpg;Pulsera;559;Raíz;65;117;200;1
36;http://localhost:8888/joyeria/img/p/3/6/36.jpg;Juego triple argolla bvlgari;36;Mujer;0;0;200;1
101;http://localhost:8888/joyeria/img/p/1/0/1/101.jpg;Juego bvlgari B;101;Mujer;0;0;200;1
598;http://localhost:8888/joyeria/img/p/5/9/8/598.jpg;Pulsera;598;Raíz;52;93.6;200;1
167;http://localhost:8888/joyeria/img/p/1/6/7/167.jpg;Broquel tous zirconias;167;Mujer;0;0;200;1
665;http://localhost:8888/joyeria/img/p/6/6/5/665.jpg;Collar;665;Raíz;80;144;200;1
548;http://localhost:8888/joyeria/img/p/5/4/8/548.jpg;Gargantilla;548;Raíz;325;585;200;1
11;http://localhost:8888/joyeria/img/p/1/1/11.jpg;Pulso channel marquiz;11;Mujer;0;0;200;1
75;http://localhost:8888/joyeria/img/p/7/5/75.jpg;Juego corazon cartier;75;Mujer;0;0;200;1
573;http://localhost:8888/joyeria/img/p/5/7/3/573.jpg;Pulsera;573;Raíz;75;135;200;1
141;http://localhost:8888/joyeria/img/p/1/4/1/141.jpg;Juego mk placa;141;Mujer;0;0;200;1
