Imagen;Categoria;Precio Base;Precio Final;Cantidad;Nombre
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR444C $173.JPG;"1,9";173;276.8;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO 1 GARGANTILLAS ILEANA SANDOVAL/GR446C $291.JPG;"1,9";291;465.6;200;Gargantilla
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl342c $166.JPG;"1,10";166;265.6;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl350c $79.JPG;"1,10";79;126.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl351c $102.JPG;"1,10";102;163.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl352c $65.JPG;"1,10";65;104;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl356c $73.JPG;"1,10";73;116.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl366c $100.JPG;"1,10";100;160;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl369c $49.JPG;"1,10";49;78.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl370c $113.JPG;"1,10";113;180.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl371c $76.JPG;"1,10";76;121.6;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl372c $161.JPG;"1,10";161;257.6;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl373c $80.JPG;"1,10";80;128;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl375c $59.JPG;"1,10";59;94.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl376c $99.JPG;"1,10";99;158.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl377c $64.JPG;"1,10";64;102.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl378c $63.JPG;"1,10";63;100.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/pl379c $133.JPG;"1,10";133;212.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL388C $82.JPG;"1,10";82;131.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL389C $75.JPG;"1,10";75;120;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL390C $102.JPG;"1,10";102;163.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL391C $63.JPG;"1,10";63;100.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL392C $97.JPG;"1,10";97;155.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL394C $90.JPG;"1,10";90;144;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL395C $90.JPG;"1,10";90;144;200;Pulsera
