ID;URL's de las imágenes;Precio Final;Cantidad;Estado;Nombre;Descripción;Categorias;Precio Base;Precio Venta;Cantidad mínima;Nombre de la imagen;Folder;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3184.JPG;;200;1;Broquel cartier con esmalte cz;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3184.JPG;acero_20160678;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3185.JPG;;200;1;Juego channel zirconia;acero existente en acero solo amarillo;1,4;;;;IMG_3185.JPG;acero_20160679;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3186.JPG;;200;1;Broquel llave tiffany;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3186.JPG;acero_20160680;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3187.JPG;;200;1;Juego mk ;acero existente en acero solo amarillo;1,4;;;;IMG_3187.JPG;acero_20160681;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3188.JPG;;200;1;Huggie mk rombo;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3188.JPG;acero_20160682;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3189.JPG;;200;1;Broquel bvlgari onix rueda saliente;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3189.JPG;acero_20160683;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3190.JPG;;200;1;Juego channel oval onix;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3190.JPG;acero_20160684;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3191.JPG;;200;1;Juego cartier corazon madre perla;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3191.JPG;acero_20160685;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3192.JPG;;200;1;Juego channel trebol madre perla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3192.JPG;acero_20160686;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3193.JPG;;200;1;Juego cartier corazon onix;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3193.JPG;acero_20160687;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3194.JPG;;200;1;Juego channel trebol onix;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3194.JPG;acero_20160688;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3195.JPG;;200;1;Pulso mk placa ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3195.JPG;acero_20160689;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3196.JPG;;200;1;Arete channel perla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3196.JPG;acero_20160690;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3197.JPG;;200;1;Juego corazon cartier;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3197.JPG;acero_20160691;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3198.JPG;;200;1;Pulso tous cristal ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3198.JPG;acero_20160692;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3199.JPG;;200;1;Pulso bvlgari zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3199.JPG;acero_20160693;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3200.JPG;;200;1;Pulso bvlgari eslabon clasico;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3200.JPG;acero_20160694;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3201.JPG;;200;1;Pulso mk cuadro zirconia madre perla;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3201.JPG;acero_20160695;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3202.JPG;;200;1;Pulso mk animal print;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3202.JPG;acero_20160696;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3203.JPG;;200;1;Pulso mk tradicional;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3203.JPG;acero_20160697;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3204.JPG;;200;1;Juego bvlgari abanico;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3204.JPG;acero_20160698;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3205.JPG;;200;1;Pulso channel mo¤o;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3205.JPG;acero_20160699;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3206.JPG;;200;1;Pulso mk cuadro zirconia onix;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3206.JPG;acero_20160700;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3207.JPG;;200;1;Arete colgante tiffany;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3207.JPG;acero_20160701;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3208.JPG;;200;1;Pulso bvlgari clasico zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3208.JPG;acero_20160702;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3209.JPG;;200;1;Pulso tiffany corazon zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3209.JPG;acero_20160703;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3210.JPG;;200;1;Pulso mk doble animal print;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3210.JPG;acero_20160704;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3211.JPG;;200;1;Pulso tous delgado madre perla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3211.JPG;acero_20160705;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3214.JPG;;200;1;Juego candado de channel;acero existente solo en amarillo y plata;1,4;;;;IMG_3214.JPG;acero_20160706;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3215.JPG;;200;1;Juego channel clasico ;acero existente solo en amarillo y plata;1,4;;;;IMG_3215.JPG;acero_20160707;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3216.JPG;;200;1;Juego bvlgari zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3216.JPG;acero_20160708;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3217.JPG;;200;1;Juego channel rombo ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3217.JPG;acero_20160709;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3218.JPG;;200;1;Pulso tous delgado onix;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3218.JPG;acero_20160710;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3219.JPG;;200;1;Anillo tornillo de cartier;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3219.JPG;acero_20160711;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3220.JPG;;200;1;Juego tous madre perla y onix;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3220.JPG;acero_20160712;;;;;;;;;;;;;
;C:\Users\JuanMiguel\Google Drive\Charly Mike\Silverzum\Imágenes\C Acero\C Acero 20160616\IMG_3221.JPG;;200;1;Juego mk candado ;acero existente en acero solo amarillo;1,4;;;;IMG_3221.JPG;acero_20160713;;;;;;;;;;;;;
